Creating 500 baboon threads...

Crossed: 100   | Waiting [E]: 449   | <---  1     | Waiting [W]: 450  
Crossed: 102   | Waiting [E]: 449   | --->  0     | Waiting [W]: 449  
Crossed: 103   | Waiting [E]: 448   | <---  0     | Waiting [W]: 449  
Crossed: 104   | Waiting [E]: 448   | --->  0     | Waiting [W]: 448  
Crossed: 104   | Waiting [E]: 447   | <---  1     | Waiting [W]: 448  
Crossed: 106   | Waiting [E]: 447   | --->  0     | Waiting [W]: 447  
Crossed: 107   | Waiting [E]: 446   | <---  0     | Waiting [W]: 447  
Crossed: 108   | Waiting [E]: 446   | --->  0     | Waiting [W]: 446  
Crossed: 109   | Waiting [E]: 445   | <---  0     | Waiting [W]: 446  
Crossed: 110   | Waiting [E]: 445   | --->  0     | Waiting [W]: 445  
Crossed: 111   | Waiting [E]: 445   | --->  0     | Waiting [W]: 444  
Crossed: 112   | Waiting [E]: 444   | <---  0     | Waiting [W]: 444  
Crossed: 113   | Waiting [E]: 443   | <---  0     | Waiting [W]: 444  
Crossed: 114   | Waiting [E]: 442   | <---  1     | Waiting [W]: 443  
Crossed: 116   | Waiting [E]: 442   | --->  0     | Waiting [W]: 442  
Crossed: 117   | Waiting [E]: 441   | <---  0     | Waiting [W]: 442  
Crossed: 118   | Waiting [E]: 441   | --->  0     | Waiting [W]: 441  
Crossed: 119   | Waiting [E]: 441   | --->  0     | Waiting [W]: 440  
Crossed: 120   | Waiting [E]: 440   | <---  0     | Waiting [W]: 440  
Crossed: 121   | Waiting [E]: 439   | <---  0     | Waiting [W]: 440  
Crossed: 122   | Waiting [E]: 439   | --->  1     | Waiting [W]: 438  
Crossed: 124   | Waiting [E]: 438   | <---  0     | Waiting [W]: 438  
Crossed: 125   | Waiting [E]: 438   | --->  0     | Waiting [W]: 437  
Crossed: 126   | Waiting [E]: 437   | <---  0     | Waiting [W]: 437  
Crossed: 127   | Waiting [E]: 437   | --->  0     | Waiting [W]: 436  
Crossed: 128   | Waiting [E]: 436   | <---  0     | Waiting [W]: 436  
Crossed: 129   | Waiting [E]: 435   | <---  0     | Waiting [W]: 436  
Crossed: 129   | Waiting [E]: 434   | <---  1     | Waiting [W]: 436  
Crossed: 131   | Waiting [E]: 434   | --->  0     | Waiting [W]: 435  
Crossed: 131   | Waiting [E]: 433   | <---  1     | Waiting [W]: 435  
Crossed: 133   | Waiting [E]: 433   | --->  1     | Waiting [W]: 433  
Crossed: 135   | Waiting [E]: 432   | <---  0     | Waiting [W]: 433  
Crossed: 136   | Waiting [E]: 432   | --->  0     | Waiting [W]: 432  
Crossed: 136   | Waiting [E]: 431   | <---  1     | Waiting [W]: 432  
Crossed: 138   | Waiting [E]: 431   | --->  0     | Waiting [W]: 431  
Crossed: 139   | Waiting [E]: 430   | <---  0     | Waiting [W]: 431  
