File: fifo_barbershop_A
Type: cpu
Time: Oct 9, 2018 at 10:40pm (PDT)
Duration: 207.35ms, Total samples = 2ms ( 0.96%)
Showing nodes accounting for 2ms, 100% of 2ms total
      flat  flat%   sum%        cum   cum%
         0     0%   100%     0.01ms   0.5%  runtime.(*mheap).allocSpanLocked
         0     0%   100%     0.01ms   0.5%  runtime.(*mheap).alloc_m
         0     0%   100%     0.02ms  1.00%  runtime.LockOSThread
         0     0%   100%     0.03ms  1.50%  runtime.acquireSudog
         0     0%   100%     0.02ms  1.00%  runtime.allgadd
         0     0%   100%     0.04ms  2.00%  runtime.chanrecv
         0     0%   100%     0.04ms  2.00%  runtime.chanrecv1
         0     0%   100%     0.01ms   0.5%  runtime.chansend
         0     0%   100%     0.01ms   0.5%  runtime.closeonexec
         0     0%   100%     0.01ms   0.5%  runtime.deferproc
         0     0%   100%     0.01ms   0.5%  runtime.ensureSigM
         0     0%   100%     0.04ms  2.00%  runtime.ensureSigM.func1
         0     0%   100%     0.01ms   0.5%  runtime.execute
         0     0%   100%     0.13ms  6.50%  runtime.findrunnable
         0     0%   100%     0.01ms   0.5%  runtime.funcname
         0     0%   100%     0.07ms  3.50%  runtime.goexit0
         0     0%   100%     0.04ms  2.00%  runtime.goready.func1
         0     0%   100%     0.01ms   0.5%  runtime.gostringnocopy
         0     0%   100%     0.04ms  2.00%  runtime.growslice
         0     0%   100%     0.02ms  1.00%  runtime.heapBits.initSpan
         0     0%   100%     0.01ms   0.5%  runtime.isSystemGoroutine
         0     0%   100%     0.07ms  3.50%  runtime.lock
         0     0%   100%     0.77ms 38.50%  runtime.main
         0     0%   100%     0.01ms   0.5%  runtime.makeslice
         0     0%   100%     0.42ms 21.00%  runtime.malg
         0     0%   100%     0.08ms  4.00%  runtime.mallocgc
         0     0%   100%     0.20ms 10.00%  runtime.mcall
         0     0%   100%     0.02ms  1.00%  runtime.mcommoninit
         0     0%   100%     0.02ms  1.00%  runtime.mpreinit
         0     0%   100%     0.62ms 31.00%  runtime.mstart
         0     0%   100%     0.53ms 26.50%  runtime.mstart1
         0     0%   100%     0.02ms  1.00%  runtime.netpollinit
         0     0%   100%     0.07ms  3.50%  runtime.newm
         0     0%   100%     0.04ms  2.00%  runtime.newm1
         0     0%   100%     0.04ms  2.00%  runtime.newosproc
         0     0%   100%     0.48ms 24.00%  runtime.newproc
         0     0%   100%     0.52ms 26.00%  runtime.newproc.func1
         0     0%   100%     0.04ms  2.00%  runtime.notesleep
         0     0%   100%     0.10ms  5.00%  runtime.notetsleep_internal
         0     0%   100%     0.10ms  5.00%  runtime.notetsleepg
         0     0%   100%     0.12ms  6.00%  runtime.notewakeup
         0     0%   100%     0.03ms  1.50%  runtime.osyield
         0     0%   100%     0.13ms  6.50%  runtime.park_m
         0     0%   100%     0.01ms   0.5%  runtime.persistentalloc
         0     0%   100%     0.01ms   0.5%  runtime.persistentalloc.func1
         0     0%   100%     0.01ms   0.5%  runtime.persistentalloc1
         0     0%   100%     0.04ms  2.00%  runtime.ready
         0     0%   100%     0.12ms  6.00%  runtime.resetspinning
         0     0%   100%     0.09ms  4.50%  runtime.runqgrab
         0     0%   100%     0.09ms  4.50%  runtime.runqsteal
         0     0%   100%     0.26ms 13.00%  runtime.schedule
         0     0%   100%     0.01ms   0.5%  runtime.selectnbsend
         0     0%   100%     0.13ms  6.50%  runtime.semasleep
         0     0%   100%     0.12ms  6.00%  runtime.semawakeup
         0     0%   100%     0.02ms  1.00%  runtime.sigenable
         0     0%   100%     0.36ms 18.00%  runtime.stackalloc
         0     0%   100%     0.36ms 18.00%  runtime.stackcacherefill
         0     0%   100%     0.02ms  1.00%  runtime.startTemplateThread
         0     0%   100%     0.17ms  8.50%  runtime.startm
         0     0%   100%     0.04ms  2.00%  runtime.stopm
         0     0%   100%     0.01ms   0.5%  runtime.sysAlloc
         0     0%   100%     0.47ms 23.50%  runtime.sysmon
         0     0%   100%     0.62ms 31.00%  runtime.systemstack
         0     0%   100%     0.17ms  8.50%  runtime.wakep
         0     0%   100%     0.01ms   0.5%  runtime/pprof.(*profileBuilder).readMapping
         0     0%   100%     0.01ms   0.5%  runtime/pprof.newProfileBuilder
         0     0%   100%     0.01ms   0.5%  runtime/pprof.profileWriter
         0     0%   100%     0.09ms  4.50%  sync.(*Once).Do
         0     0%   100%     0.01ms   0.5%  sync.(*Pool).pin
         0     0%   100%     0.01ms   0.5%  sync.(*Pool).pinSlow
         0     0%   100%     0.01ms   0.5%  syscall.Fstat
         0     0%   100%     0.01ms   0.5%  syscall.Mkdir
         0     0%   100%     0.03ms  1.50%  syscall.Read
         0     0%   100%     0.01ms   0.5%  syscall.SetNonblock
         0     0%   100%     0.01ms   0.5%  syscall.fcntl
         0     0%   100%     0.03ms  1.50%  syscall.read
         0     0%   100%     0.07ms  3.50%  time.(*Location).get
         0     0%   100%     0.07ms  3.50%  time.Now
         0     0%   100%     0.07ms  3.50%  time.Time.abs
         0     0%   100%     0.07ms  3.50%  time.Time.date
         0     0%   100%     0.07ms  3.50%  time.initLocal
         0     0%   100%     0.06ms  3.00%  time.loadLocation
         0     0%   100%     0.04ms  2.00%  time.loadTzinfo
         0     0%   100%     0.07ms  3.50%  time.now
         0     0%   100%     0.03ms  1.50%  time.read
         0     0%   100%     0.03ms  1.50%  time.readFile
